Название,Способ обработки,Тип,Описание,Плотность,Кислотность,Количество,Единица,Цена,Цена за кг/шт,Рейтинг,Число отзывов
Фанки,смесь,капсулы для nespresso,"Яркий кофе с нотами ягодного джема , цветочного мёда и тёмной карамели",0.6,0.8,40,шт,1719,42.98,0.0,0
Кэнди,смесь,капсулы для nespresso,"Плотный кофе с нотами тёмной карамели , цукатов и специй",1.0,0.2,40,шт,1729,43.23,4.8,0
Руанда Киву,мытый,дрип-пакеты,"Яркий кофе с нотами вишни , грейпфрута и тёмного шоколада",0.6,0.8,30,шт,1629,54.3,4.9,17
Колумбия Уила,мытый,дрип-пакеты,"Сочный кофе с нотами красного яблока , тёмного винограда и какао",0.6,0.8,30,шт,1639,54.63,4.8,39
Колумбия Декаф,"без кофеина, этилацетат",дрип-пакеты,"Кофе без кофеина с нотами чернослива , красного яблока и тёмного шоколада",0.4,0.8,30,шт,1889,62.97,5.0,18
Руанда Кигали,мытый,капсулы для nespresso,"Сладкий кофе с нотами мёда , вишни и грейпфрута",0.6,0.8,10,шт,449,44.9,4.5,16
Фрутти,смесь,капсулы для nespresso,"Сладкий кофе с нотами абрикоса , молочного шоколада и сухофруктов",0.6,0.6,10,шт,459,45.9,4.7,6
Натти,смесь,капсулы для nespresso,"Плотный кофе с нотами жареных орехов , печенья и нуги",0.6,0.0,10,шт,449,44.9,4.5,29
Брауни,смесь,капсулы для nespresso,"Сладкий кофе с нотами тёмного шоколада , изюма и ореховой пасты",0.8,0.4,10,шт,449,44.9,4.7,6
Cascara Fizz,,напитки в банках,4 банки с лимонадом из каскары — мякоти и кожуры кофейных ягод,,,4,шт,799,199.75,3.8,90
Coffee Tonic,,напитки в банках,4 банки с кофе-тоником на основе нашего кофейного концентрата Бэрри,,,4,шт,829,207.25,4.2,111
Сбалансированныйкофе для эспрессо,,для эспрессо,"Случайный кофе из нашего каталога с нотами орехов , шоколада , низкой или средней кислотностью",0.8,0.2,250,г,599,2396.0,4.6,478
Яркийкофе для фильтра,,для фильтра,Случайный яркий кофе из нашего каталога с цветочными и фруктово-ягодными нотами,0.4,0.8,250,г,739,2956.0,4.8,198
Яркийкофе для эспрессо,,для эспрессо,Случайный яркий кофе из нашего каталога с цветочными и фруктово-ягодными нотами,0.8,0.8,250,г,699,2796.0,4.7,157
Яркийкофе в дрип-пакетах,,дрип-пакеты,Случайный кофе в дрип-пакетах из нашего каталога с яркими цветочными и фруктово-ягодными нотами,,,10,шт,559,55.9,4.9,72
Яркиймикролот для фильтра,микролот,для фильтра,Случайный лот кофе с яркими цветочными и фруктово-ягодными нотами,0.4,0.8,250,г,969,3876.0,4.5,214
Яркиймикролот для эспрессо,микролот,для эспрессо,Случайный лот кофе с яркими цветочными и фруктово-ягодными нотами,0.6,0.8,250,г,839,3356.0,4.5,113
Яркиймикролот в дрип-пакетах,микролот,дрип-пакеты,Случайный микролот в дрип-пакетах из нашего каталога с яркими цветочными и фруктово-ягодными нотами,,,10,шт,689,68.9,4.8,27
